Time MAK HER WHK BLF WPF SUF WIF WTF FOU HAL PLA FLA BFT TUN BIL MPF BUT BPF ANC GOO MEN FDE COD SHK OHK POL RHK BSB SCU TYL RED OPT SAL DRM STB TAU WOL SDF FDF HAD YTF DOG SMO SSH DSH BLS POR PSH WSK LSK SK SB PIN RWH BWH SWH TWH INV LSQ ISQ SCA QHG CLA BFF BG LOB BMS NSH OSH ZL BD MA MB SG BC ZG PL DF PS ZM ZS PB BB BO DL DR DC DIN RelMAK RelHER RelWHK RelBLF RelWPF RelSUF RelWIF RelWTF RelFOU RelHAL RelPLA RelFLA RelBFT RelTUN RelBIL RelMPF RelBUT RelBPF RelANC RelGOO RelMEN RelFDE RelCOD RelSHK RelOHK RelPOL RelRHK RelBSB RelSCU RelTYL RelRED RelOPT RelSAL RelDRM RelSTB RelTAU RelWOL RelSDF RelFDF RelHAD RelYTF RelDOG RelSMO RelSSH RelDSH RelBLS RelPOR RelPSH RelWSK RelLSK RelSK RelSB RelPIN RelRWH RelBWH RelSWH RelTWH RelINV RelLSQ RelISQ RelSCA RelQHG RelCLA RelBFF RelBG RelLOB RelBMS RelNSH RelOSH RelZL RelBD RelMA RelMB RelSG RelBC RelZG RelPL RelDF RelPS RelZM RelZS RelPB RelBB RelBO RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 348686.362057 355429.942797 64199.830108 128590.560742 15646.866927 109821.173795 105491.434038 59456.867473 13086.755253 53397.189149 59315.062681 1698.979775 23393.473963 448479.607756 59364.601765 1661.015607 96197.035481 229656.869824 265550.218080 86763.500447 3351278.615442 72994.004892 81843.718272 468101.700047 5219.941399 247295.383633 145475.564555 38873.926942 91572.944119 11780.548937 116462.250145 32579.665647 5580.343107 389488.239499 271961.059037 729.193513 5096.129455 3097977.945995 623561.925479 148302.578011 99318.245660 272079.999302 92844.890844 12067.743012 432050.637121 2366.398925 17395.836285 147848.250122 508070.768196 416164.655166 138215.024205 1487.880977 1722.399425 14803.940180 59583.725855 9872.136749 5641.930958 1916.129753 13932.992016 9984.292356 225479.999998 3999999.999968 6688270.941798 15347123.986184 5020477.353660 260999.999997 722763.132840 45019.339673 89863.904477 823134.928186 3752440.684908 53524.928353 0.000000 20571.616115 6006714.342678 1357288.844531 3777969.218999 616095.117616 4006014.053935 882400.643015 3476921.936657 9161.840286 608869.228836 60255023.496072 15052391.318573 60209.565274 0.000000 329357996.662675 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 818.776320 4.116939
7.300000e+01 346758.258120 365936.448607 64037.641145 126413.892436 15760.003616 120850.806755 99378.385049 59399.876397 13201.996846 53822.834441 59616.314935 1859.340600 28545.881074 669933.203657 76370.983846 1693.735355 115318.546106 237682.600890 270124.206213 88923.685960 3359753.144119 69918.045545 77945.209607 515091.644401 5516.215079 230201.543187 167086.097148 38875.143782 98717.308234 11710.202294 116450.068344 33047.914752 5655.457677 379497.955297 271840.144874 728.557180 4449.805727 2735954.960092 554833.165036 142924.844549 92572.439690 274497.490092 96671.881325 12262.772670 459947.697989 2364.882815 17079.446622 155127.946819 514066.562490 464089.309552 138602.075288 1380.299480 1722.399643 11763.488557 40971.873764 9871.153802 5641.921929 1738.796700 12930.058526 9270.340160 224238.228868 3997390.427977 6674444.017680 15328568.828255 5213008.256459 262411.941883 725163.449483 47671.623383 93604.646985 866395.870556 3745546.304958 0.000301 0.065279 27957.560941 6008846.271834 1353516.522419 4678877.002450 478277.763991 3127620.345671 1036182.711438 2192080.870720 63223.910633 800991.455887 60228300.398510 89938.475994 2406983.483240 0.000000 340902200.925977 0.994470 1.029560 0.997474 0.983073 1.007231 1.100433 0.942052 0.999041 1.008806 1.007971 1.005079 1.094387 1.220250 1.493787 1.286473 1.019699 1.198774 1.034947 1.017225 1.024897 1.002529 0.957860 0.952366 1.100384 1.056758 0.930877 1.148551 1.000031 1.078018 0.994029 0.999895 1.014372 1.013461 0.974350 0.999555 0.999127 0.873174 0.883142 0.889780 0.963738 0.932079 1.008885 1.041219 1.016161 1.064569 0.999359 0.981812 1.049238 1.011801 1.115158 1.002800 0.927695 1.000000 0.794619 0.687635 0.999900 0.999998 0.907452 0.928017 0.928492 0.994493 0.999348 0.997933 0.998791 1.038349 1.005410 1.003321 1.058914 1.041627 1.052556 0.998163 0.000000 1.000000 1.359036 1.000355 0.997221 1.238464 0.776305 0.780731 1.174277 0.630466 6.900787 1.315539 0.999557 0.005975 39.976762 1.000000 1.035051 0.392569 2.808276 67.500000 1.870307 627.324263 1.545303
1.460000e+02 344892.541105 375189.820969 63867.296345 124878.640737 15882.260880 120462.222757 100898.168721 55628.173663 13317.000087 54233.940567 55634.089044 2010.020867 28148.302463 664089.860063 76218.543765 1725.488987 112428.059669 226983.367021 257214.734672 92072.184202 3370690.044448 72717.293263 80403.612502 565712.243236 5795.138104 233375.635682 187415.609474 38944.728277 106879.307724 11638.228182 112975.473902 28911.382658 5729.838062 402442.462602 271718.363260 728.342005 4519.488736 2775857.946302 563207.658613 155410.491744 97306.598286 277826.875993 101035.820183 12475.156157 490704.966560 2363.432188 16787.641028 160062.632521 516262.506041 493842.042998 139016.457143 1287.444179 1722.398726 9980.437990 31672.501546 9870.111619 5641.911514 1778.940036 12018.485705 8658.283646 223104.721418 3996594.846433 6665234.178154 15314613.800297 5239711.975018 263688.756180 727602.228135 50276.254463 97851.051873 929872.442737 3739319.958665 0.000301 0.074978 76237.831557 6011089.001586 1349315.485267 4583536.553644 412609.666080 3806612.264376 1236363.031083 2525144.472714 48664.630601 756532.971821 60213652.837907 120104.826442 2070147.385437 0.000000 351617999.265009 0.989120 1.055594 0.994820 0.971134 1.015044 1.096894 0.956458 0.935606 1.017594 1.015670 0.937942 1.183075 1.203254 1.480758 1.283906 1.038816 1.168727 0.988359 0.968611 1.061186 1.005792 0.996209 0.982404 1.208524 1.110192 0.943712 1.288296 1.001821 1.167149 0.987919 0.970061 0.887406 1.026790 1.033260 0.999108 0.998832 0.886847 0.896023 0.903210 1.047928 0.979745 1.021122 1.088222 1.033761 1.135758 0.998746 0.965038 1.082614 1.016123 1.186651 1.005798 0.865287 1.000000 0.674174 0.531563 0.999795 0.999997 0.928403 0.862592 0.867191 0.989466 0.999149 0.996556 0.997882 1.043668 1.010302 1.006695 1.116770 1.088880 1.129672 0.996503 0.000000 1.000000 3.705972 1.000728 0.994126 1.213228 0.669717 0.950224 1.401136 0.726259 5.311665 1.242521 0.999313 0.007979 34.382367 1.000000 1.067586 0.379356 2.047985 69.590909 1.866277 514.265811 1.620606
2.190000e+02 343747.675112 387733.273845 59294.204436 112680.546385 14645.615111 120627.062838 104320.515445 55568.732812 12478.439098 50730.494509 55714.857730 1913.587548 26174.980181 625598.169659 72026.832540 1549.089370 161133.125358 250695.501959 277252.212162 96100.383044 3396097.893829 76635.165822 83781.340868 569303.087774 5109.513535 236522.929999 168676.193307 35692.029020 104998.044807 10337.348353 135226.334315 29624.143742 5835.313434 351689.459026 253492.616685 631.767128 4587.124654 2828689.124813 568710.901728 169019.278228 105587.537823 245077.407175 94800.405155 11189.521272 467956.337861 2362.039271 16517.602904 165594.998689 461584.121044 424847.377246 128233.612645 1159.674670 1850.792525 8175.917500 23811.224351 9868.309266 5641.896668 1815.814704 10653.128334 7742.506095 222343.338121 3994210.289746 6651660.169262 15292236.085414 5305859.636957 265743.028409 731308.879979 53364.624683 105293.300295 1045551.285513 3730543.312621 0.000301 0.077793 49011.445586 6013874.474417 1341216.108622 3366122.069443 363921.717417 4369576.804241 1684947.551856 3550381.455895 55466.156865 707912.766551 60223312.657897 161347.343846 2817777.647047 0.000000 368918580.223864 0.985836 1.090885 0.923588 0.876274 0.936009 1.098395 0.988900 0.934606 0.953517 0.950059 0.939304 1.126316 1.118901 1.394931 1.213296 0.932616 1.675032 1.091609 1.044067 1.107613 1.013374 1.049883 1.023675 1.216195 0.978845 0.956439 1.159481 0.918148 1.146606 0.877493 1.161117 0.909283 1.045691 0.902953 0.932092 0.866392 0.900119 0.913076 0.912036 1.139692 1.063123 0.900755 1.021062 0.927226 1.083105 0.998158 0.949515 1.120034 0.908504 1.020864 0.927783 0.779414 1.074543 0.552280 0.399626 0.999612 0.999994 0.947647 0.764597 0.775469 0.986089 0.998553 0.994526 0.996424 1.056844 1.018173 1.011824 1.185371 1.171697 1.270206 0.994164 0.000000 1.000000 2.382479 1.001192 0.988158 0.890987 0.590691 1.090754 1.909504 1.021128 6.054041 1.162668 0.999474 0.010719 46.799502 1.000000 1.120114 0.387431 1.992756 69.772727 1.866062 412.837334 1.567439
2.920000e+02 341483.126391 336793.485396 60657.666678 116569.810610 14952.516939 109511.002264 107238.425658 57013.840850 12493.462242 51111.370488 56315.740677 2114.412364 25915.063788 621602.715469 71884.776569 1633.683507 217294.262415 273625.751175 293354.519721 89487.571050 3007688.513884 81163.896850 87669.758949 700820.672834 5686.387994 240190.356366 198847.988072 36850.636199 128825.844070 10341.085056 135366.671681 30379.443505 5243.719169 399650.451085 282843.783679 645.237369 4665.899009 2889566.837457 574555.100811 184892.987668 114733.764962 252080.628592 105467.708981 11693.243472 540343.165878 2149.585157 14956.888647 135667.097670 474625.325357 450766.361167 128557.279357 1391.718362 1884.511679 6649.995607 18334.964638 9855.128919 5635.574267 1857.423267 9173.943976 6720.731651 221769.476459 3992672.939479 6638684.070065 15269084.417630 5404805.584828 268341.490048 735835.122910 57221.357038 114965.490929 1246159.868567 3719154.831853 0.000301 0.079468 7868.335835 6017320.613058 1331869.205677 5193825.610177 417165.652225 5217344.284475 2258716.353076 4005734.771997 62125.916369 666105.007676 60245528.796246 174437.938572 3979733.495061 0.000000 393595944.535332 0.979342 0.947566 0.944826 0.906519 0.955624 0.997176 1.016561 0.958911 0.954665 0.957192 0.949434 1.244519 1.107790 1.386022 1.210903 0.983545 2.258846 1.191455 1.104704 1.031397 0.897475 1.111926 1.071185 1.497155 1.089359 0.971269 1.366882 0.947952 1.406811 0.877810 1.162322 0.932466 0.939677 1.026091 1.040016 0.884864 0.915577 0.932727 0.921408 1.246728 1.155213 0.926495 1.135956 0.968967 1.250648 0.908378 0.859797 0.917610 0.934172 1.083144 0.930125 0.935369 1.094120 0.449204 0.307718 0.998277 0.998873 0.969362 0.658433 0.673130 0.983544 0.998168 0.992586 0.994915 1.076552 1.028128 1.018086 1.271039 1.279329 1.513919 0.991130 0.000000 1.000000 0.382485 1.001766 0.981272 1.374767 0.677112 1.302378 2.559740 1.152092 6.780943 1.094003 0.999842 0.011589 66.098027 1.000000 1.195040 0.276305 3.897023 65.727273 1.864660 312.505602 1.497803
3.650000e+02 342500.775248 343406.256729 62126.026595 116010.353881 15277.472163 109059.061854 109672.576305 57451.637352 12706.128169 51971.678750 56836.044776 2336.070492 25915.063788 621602.715469 71884.776569 1698.728239 253502.593378 290413.263582 304883.555091 92953.119954 3567774.140974 84663.613099 91695.869474 810308.547167 6133.975276 243983.691633 226634.970657 37229.425742 142727.329133 10297.413432 135629.127027 31135.946842 5431.519474 428774.056670 285975.920018 649.639455 4749.578358 2939675.991327 579949.644878 200991.378663 122830.540150 257614.098752 111687.367969 12021.988543 587325.283488 2149.585157 14956.888647 135667.097670 485604.289601 481239.573144 130700.904130 1391.718362 1884.509416 6529.118974 17913.690944 9854.334420 5635.569660 1892.316221 44626.346777 13546.334870 220907.609461 3992035.904096 6629837.914158 15253974.065534 5472817.688231 270510.263308 739808.430367 73995.558764 192217.123466 1429687.653194 3709042.820263 0.000301 0.080248 1612.143837 6020788.678349 1326107.790869 5130430.397847 547911.352677 3669834.088100 2644483.048200 2999535.289628 36104.692492 632711.293609 60259358.339208 108163.014646 3848359.066432 0.000000 411503933.729837 0.982260 0.966171 0.967698 0.902169 0.976392 0.993060 1.039635 0.966274 0.970915 0.973304 0.958206 1.374984 1.107790 1.386022 1.210903 1.022705 2.635243 1.264553 1.148120 1.071339 1.064601 1.159871 1.120378 1.731052 1.175104 0.986608 1.557890 0.957697 1.558619 0.874103 1.164576 0.955687 0.973331 1.100865 1.051533 0.890901 0.931997 0.948902 0.930059 1.355279 1.236737 0.946832 1.202946 0.996209 1.359390 0.908378 0.859797 0.917610 0.955781 1.156368 0.945635 0.935369 1.094119 0.441039 0.300647 0.998197 0.998872 0.987572 3.202926 1.356765 0.979722 0.998009 0.991263 0.993930 1.090099 1.036438 1.023584 1.643639 2.138980 1.736881 0.988435 0.000000 1.000000 0.078367 1.002343 0.977027 1.357986 0.889329 0.916081 2.996919 0.862698 3.940769 1.039158 1.000072 0.007186 63.916075 1.000000 1.249412 0.294776 5.518205 60.363636 1.861834 300.923096 1.487277
4.380000e+02 343129.912055 362223.015658 62173.236989 114411.042073 15426.784181 108872.903521 99092.572847 57415.968908 12852.935883 52614.573272 57257.906293 2488.906673 29910.769505 707213.308970 83557.062857 1751.145790 275196.107666 302536.245824 311307.626380 99285.353795 3665000.638035 73881.317139 81419.100400 888972.227735 6479.020168 224091.161799 248085.579729 37295.875361 151408.153405 10237.967006 135926.590678 31740.215148 5569.741470 437666.605435 285902.965640 650.378478 4291.177669 2657380.018694 542964.371910 166704.597554 103935.055092 261364.482403 115567.155680 12239.309829 618384.586843 2149.585157 14956.888647 135667.097670 493052.289920 499652.720827 131328.058444 1391.718362 1884.509103 6529.118974 17913.690944 9854.334420 5635.569660 1747.381631 40489.497847 12086.510220 219762.797519 3990329.555780 6620499.874355 15241125.798074 5497643.827266 271727.085612 742648.682771 71407.372999 178685.867712 1565153.539766 3703666.418866 0.000301 0.080642 900.629614 6024048.662481 1322214.218225 5334211.399104 598129.686772 3116744.017605 2822200.439528 2340218.171997 25969.608821 600054.701425 60266265.017065 83865.130346 2874913.167996 0.000000 420812636.929360 0.984065 1.019112 0.968433 0.889731 0.985934 0.991365 0.939342 0.965674 0.982133 0.985344 0.965318 1.464942 1.278595 1.576913 1.407523 1.054262 2.860755 1.317340 1.172312 1.144322 1.093613 1.012156 0.994812 1.899101 1.241206 0.906168 1.705342 0.959406 1.653416 0.869057 1.167130 0.974234 0.998100 1.123697 1.051264 0.891915 0.842046 0.857779 0.870747 1.124084 1.046485 0.960616 1.244734 1.014217 1.431278 0.908378 0.859797 0.917610 0.970440 1.200613 0.950172 0.935369 1.094119 0.441039 0.300647 0.998197 0.998872 0.911933 2.906016 1.210553 0.974644 0.997582 0.989867 0.993093 1.095044 1.041100 1.027513 1.586149 1.988405 1.901454 0.987002 0.000000 1.000000 0.043780 1.002886 0.974158 1.411926 0.970840 0.778016 3.198321 0.673072 2.834541 0.985523 1.000187 0.005572 47.748446 1.000000 1.277675 0.305553 4.750625 61.772727 1.861037 297.657593 1.484842
5.110000e+02 343498.124048 382125.779873 62205.356382 113584.167764 15585.217037 108793.933463 100013.061828 56731.214750 12998.610325 53232.001443 54633.515598 2631.902841 38974.445008 809348.484969 110055.202295 1801.255790 226834.982077 259002.122254 274859.811793 105026.617766 3769160.086239 77619.739190 84210.282516 972759.812999 6799.935930 227868.751572 268249.826097 37434.262576 161291.799903 10175.991791 133943.238807 28471.842281 5697.034005 453894.590880 285828.561067 651.596257 4374.639155 2707138.143169 549546.650305 179028.206159 105788.313439 265232.263667 119980.438809 12475.712998 652535.288371 2149.585157 14956.888647 135667.097670 495629.825236 513416.826587 131976.587554 1417.990191 1884.508576 6913.230314 18275.898578 10126.877284 5792.014011 1785.169916 36955.138490 10923.777213 218680.097516 3990123.929824 6614282.634987 15230332.406380 5527699.753748 272786.699355 745427.688305 69325.921484 167542.454037 1730110.370805 3698816.239387 0.000301 0.080376 1197.094567 6027107.011305 1318040.168719 5054288.113517 516917.322019 3770245.056280 3004318.184356 2558774.490165 36503.302408 567770.066091 60287082.702218 117208.607024 2387389.144288 0.000000 430106968.232014 0.985121 1.075109 0.968933 0.883301 0.996060 0.990646 0.948068 0.954157 0.993265 0.996906 0.921073 1.549108 1.666039 1.804649 1.853886 1.084430 2.358025 1.127779 1.035058 1.210493 1.124693 1.063371 1.028916 2.078095 1.302684 0.921444 1.843951 0.962966 1.761348 0.863796 1.150100 0.873915 1.020911 1.165361 1.050991 0.893585 0.858424 0.873840 0.881302 1.207182 1.065145 0.974832 1.292268 1.033807 1.510321 0.908378 0.859797 0.917610 0.975513 1.233687 0.954864 0.953027 1.094118 0.466986 0.306726 1.025804 1.026601 0.931654 2.652348 1.094096 0.969843 0.997531 0.988938 0.992390 1.101031 1.045160 1.031358 1.539914 1.864402 2.101855 0.985709 0.000000 1.000000 0.058192 1.003395 0.971083 1.337832 0.839022 0.941146 3.404710 0.735931 3.984276 0.932499 1.000532 0.007787 39.651327 1.000000 1.305895 0.363590 2.002981 67.727273 1.860179 318.465168 1.484328
5.840000e+02 345458.791891 408860.823165 58872.660850 101899.738641 14222.645862 110219.091812 103671.052102 56691.809360 12461.851497 51016.300335 54390.084696 2420.684418 37994.174936 797751.215551 109211.224386 1567.034600 274061.652887 291788.762344 298289.710391 112120.066423 3924240.121920 82728.324307 88546.592624 933030.015913 5664.864047 231850.714272 227065.182508 33744.469263 145398.458649 9812.067112 135054.111252 29338.872402 5860.069595 377038.519141 281059.145014 595.071879 4462.195522 2776495.756438 556603.377312 192417.211349 114098.805354 248951.754943 105857.445994 11022.743084 580931.810021 2192.807953 15132.587617 145775.494989 457609.910494 428259.426468 122771.321235 1256.873069 1883.328281 6099.545733 15645.751653 10125.014991 5791.998825 1829.341130 31957.379131 9269.199581 217988.388656 3988404.231259 6604121.089836 15211915.653811 5600007.726482 274476.973093 749536.046951 67193.911686 154230.231237 2016853.729751 3692883.963460 0.000301 0.080723 302.397479 6030703.776021 1310483.877115 3631055.539757 465822.744561 4352159.865379 3332536.026777 3468029.028264 54490.876576 533048.084179 60353853.470610 158298.755929 3044898.572779 0.000000 447154996.554981 0.990744 1.150327 0.917022 0.792436 0.908977 1.003623 0.982744 0.953495 0.952249 0.955412 0.916969 1.424787 1.624136 1.778790 1.839669 0.943420 2.848962 1.270542 1.123289 1.292249 1.170968 1.133358 1.081898 1.993221 1.085235 0.937546 1.560848 0.868049 1.587788 0.832904 1.159639 0.900527 1.050127 0.968036 1.033454 0.816069 0.875605 0.896228 0.892619 1.297464 1.148820 0.914995 1.140154 0.913406 1.344592 0.926643 0.869897 0.985981 0.900681 1.029062 0.888263 0.844740 1.093433 0.412022 0.262584 1.025615 1.026599 0.954706 2.293648 0.928378 0.966775 0.997101 0.987418 0.991190 1.115433 1.051636 1.037042 1.492557 1.716265 2.450210 0.984129 0.000000 1.000000 0.014700 1.003994 0.965516 0.961113 0.756089 1.086407 3.776670 0.997442 5.947591 0.875472 1.001640 0.010517 50.571675 1.000000 1.357656 0.402764 1.930599 70.045455 1.858766 282.365828 1.481225
6.570000e+02 337388.281076 365243.663438 57802.188916 106737.360901 14515.784629 104107.835902 106894.155589 56026.986246 12473.210462 51332.737925 55061.694474 2599.921812 37457.180024 791144.780545 108899.431311 1664.529980 329023.779023 324196.545506 318307.161067 94198.639402 3855828.981597 88669.226498 93560.456710 1121606.881168 6258.256664 236438.895810 257703.250950 35125.626941 173685.908167 9796.156898 135498.780872 30296.274728 5555.178789 409001.054281 280847.586824 610.914824 4564.176263 2856633.641397 564689.140597 208080.137761 123344.021152 257872.023821 116833.858427 11593.788686 661555.409443 2176.916790 14901.238612 132562.333915 473948.130107 445323.431846 123420.895136 1486.401434 1883.321237 5271.856944 13258.775915 10107.368983 5783.173773 1879.493419 27046.846576 7584.098668 217482.335073 3987258.744762 6593718.364470 15190723.939930 5708637.657931 276551.623659 754456.354245 65472.424110 142587.591160 2417083.051608 3684425.777064 0.000301 0.081497 10.418463 6034796.469635 1301480.696960 5322284.643338 507620.948333 5227065.277711 3638603.874779 3915979.637352 61574.077422 503304.682706 60434373.572821 174176.695310 4179180.134555 0.000000 471851309.326572 0.967598 1.027611 0.900348 0.830056 0.927712 0.947976 1.013297 0.942313 0.953117 0.961338 0.928292 1.530284 1.601181 1.764060 1.834417 1.002116 3.420311 1.411656 1.198670 1.085694 1.150555 1.214747 1.143160 2.396075 1.198913 0.956099 1.771454 0.903578 1.896695 0.831554 1.163457 0.929914 0.995491 1.050099 1.032676 0.837795 0.895616 0.922096 0.905586 1.403078 1.241907 0.947780 1.258377 0.960726 1.531199 0.919928 0.856598 0.896611 0.932839 1.070065 0.892963 0.999006 1.093429 0.356112 0.222523 1.023828 1.025034 0.980880 1.941209 0.759603 0.964530 0.996815 0.985863 0.989809 1.137071 1.059585 1.043850 1.454318 1.586706 2.936436 0.981874 0.000000 1.000000 0.000506 1.004675 0.958883 1.408769 0.823933 1.304805 4.123528 1.126278 6.720711 0.826622 1.002977 0.011571 69.410568 1.000000 1.432640 0.301825 4.325058 65.727273 1.855794 224.728817 1.478552
