Time MAK HER WHK BLF WPF SUF WIF WTF FOU HAL PLA FLA BFT TUN BIL MPF BUT BPF ANC GOO MEN FDE COD SHK OHK POL RHK BSB SCU TYL RED OPT SAL DRM STB TAU WOL SDF FDF HAD YTF DOG SMO SSH DSH BLS POR PSH WSK LSK SK SB PIN RWH BWH SWH TWH INV LSQ ISQ SCA QHG CLA BFF BG LOB BMS NSH OSH ZL BD MA MB SG BC ZG PL DF PS ZM ZS PB BB BO DL DR DC DIN RelMAK RelHER RelWHK RelBLF RelWPF RelSUF RelWIF RelWTF RelFOU RelHAL RelPLA RelFLA RelBFT RelTUN RelBIL RelMPF RelBUT RelBPF RelANC RelGOO RelMEN RelFDE RelCOD RelSHK RelOHK RelPOL RelRHK RelBSB RelSCU RelTYL RelRED RelOPT RelSAL RelDRM RelSTB RelTAU RelWOL RelSDF RelFDF RelHAD RelYTF RelDOG RelSMO RelSSH RelDSH RelBLS RelPOR RelPSH RelWSK RelLSK RelSK RelSB RelPIN RelRWH RelBWH RelSWH RelTWH RelINV RelLSQ RelISQ RelSCA RelQHG RelCLA RelBFF RelBG RelLOB RelBMS RelNSH RelOSH RelZL RelBD RelMA RelMB RelSG RelBC RelZG RelPL RelDF RelPS RelZM RelZS RelPB RelBB RelBO RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 348686.362057 355429.942797 64199.830108 128590.560742 15646.866927 109821.173795 105491.434038 59456.867473 13086.755253 53397.189149 59315.062681 1698.979775 23393.473963 448479.607756 59364.601765 1661.015607 96197.035481 229656.869824 265550.218080 86763.500447 3351278.615442 72994.004892 81843.718272 468101.700047 5219.941399 247295.383633 145475.564555 38873.926942 91572.944119 11780.548937 116462.250145 32579.665647 5580.343107 389488.239499 271961.059037 729.193513 5096.129455 3097977.945995 623561.925479 148302.578011 99318.245660 272079.999302 92844.890844 12067.743012 432050.637121 2366.398925 17395.836285 147848.250122 508070.768196 416164.655166 138215.024205 1487.880977 1722.399425 14803.940180 59583.725855 9872.136749 5641.930958 1916.129753 13932.992016 9984.292356 225479.999998 3999999.999968 6688270.941798 15347123.986184 5020477.353660 260999.999997 722763.132840 45019.339673 89863.904477 823134.928186 3752440.684908 53524.928353 0.000000 20571.616115 6006714.342678 1357288.844531 3777969.218999 616095.117616 4006014.053935 882400.643015 3476921.936657 9161.840286 608869.228836 60255023.496072 15052391.318573 60209.565274 0.000000 329357996.662675 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 818.776320 4.116939
1.000000e+00 348663.140814 355524.652896 64197.936928 128568.673539 15649.460912 109810.015626 105519.170343 59456.148064 13088.499303 53403.676723 59319.852341 1701.597133 23388.338856 448398.500560 59362.668132 1661.460908 96516.987547 229797.055523 265649.994769 86784.118434 3351458.725813 73022.621744 81889.218297 468757.537327 5224.213983 247331.130364 145818.971323 38875.306360 91693.114945 11779.630715 116462.213669 32588.073980 5581.577776 388820.305984 271958.767158 729.228278 5096.988702 3098444.612261 623616.000600 148511.847969 99406.457583 272126.610666 92921.118678 12071.550367 432601.846733 2366.367278 17389.119458 147986.453156 508181.517208 417134.076139 138221.521605 1485.652325 1722.399410 14725.436964 59079.241138 9872.118638 5641.930779 1916.473181 13912.919370 9970.260410 225471.930359 4000012.268164 6688357.253817 15346923.777080 5116904.815356 261034.977742 722805.896459 45058.298606 89919.341031 823922.994457 3752345.775523 1.464162 0.032113 20425.031319 6006733.486923 1357244.143709 3910477.094823 409491.974081 3618653.208027 885395.239158 3387604.723796 114540.159981 818395.081425 60254872.917195 6375212.990471 825335.399040 0.000000 329936829.092793 0.999933 1.000266 0.999971 0.999830 1.000166 0.999898 1.000263 0.999988 1.000133 1.000121 1.000081 1.001541 0.999780 0.999819 0.999967 1.000268 1.003326 1.000610 1.000376 1.000238 1.000054 1.000392 1.000556 1.001401 1.000819 1.000145 1.002361 1.000035 1.001312 0.999922 1.000000 1.000258 1.000221 0.998285 0.999992 1.000048 1.000169 1.000151 1.000087 1.001411 1.000888 1.000171 1.000821 1.000315 1.001276 0.999987 0.999614 1.000935 1.000218 1.002329 1.000047 0.998502 1.000000 0.994697 0.991533 0.999998 1.000000 1.000179 0.998559 0.998595 0.999964 1.000003 1.000013 0.999987 1.019207 1.000134 1.000059 1.000865 1.000617 1.000957 0.999975 0.000027 1.000000 0.992874 1.000003 0.999967 1.035074 0.664657 0.903305 1.003394 0.974311 12.501873 1.344123 0.999998 0.423535 13.707712 1.000000 1.001757 0.369396 2.967984 63.909091 1.877334 813.857994 1.535689
2.000000e+00 348637.771730 350279.212117 64196.077476 128542.178622 15651.475868 108980.973470 105542.852524 59455.427989 13090.268019 53410.079499 59324.474514 1704.076246 23383.155432 448316.480944 59360.868309 1661.939312 96817.439694 229924.144797 265724.234536 85514.724249 3351597.276111 73048.393332 81930.866471 469452.815337 5228.746358 247367.421989 146152.768897 38876.463873 91808.735336 11778.742176 116462.150869 32595.423855 5582.722472 388295.830794 271956.886479 729.232848 5097.824221 3098881.010935 623666.816974 148708.887272 99486.438568 272167.819987 92982.763269 12074.626353 433041.352295 2366.342392 17383.830057 148107.037911 508276.837659 418046.427967 138227.938890 1483.799782 1722.399407 14659.265505 58651.200061 9872.103366 5641.930635 1916.803623 13896.126710 9958.401701 225456.897785 3999962.974212 6688191.995342 15346630.377043 5158340.921598 261059.576902 722842.239353 45095.638156 89972.991989 824568.616156 3752239.154230 0.000303 0.032850 20396.564398 6006759.146483 1357192.353506 3928043.786234 391005.410448 3604470.160163 887962.903933 3304967.724759 146712.620342 841275.569341 60254673.096507 2832365.631675 1309596.469184 0.000000 330262718.098132 0.999861 0.985508 0.999942 0.999624 1.000295 0.992349 1.000487 0.999976 1.000268 1.000241 1.000159 1.003000 0.999559 0.999636 0.999937 1.000556 1.006449 1.001164 1.000655 0.985607 1.000095 1.000745 1.001065 1.002886 1.001687 1.000291 1.004655 1.000065 1.002575 0.999847 0.999999 1.000484 1.000426 0.996939 0.999985 1.000054 1.000333 1.000292 1.000168 1.002740 1.001693 1.000323 1.001485 1.000570 1.002293 0.999976 0.999310 1.001750 1.000406 1.004522 1.000093 0.997257 1.000000 0.990227 0.984349 0.999997 1.000000 1.000352 0.997354 0.997407 0.999898 0.999991 0.999988 0.999968 1.027460 1.000228 1.000109 1.001695 1.001214 1.001742 0.999946 0.000000 1.000000 0.991491 1.000007 0.999929 1.039724 0.634651 0.899765 1.006304 0.950544 16.013444 1.381702 0.999994 0.188167 21.750638 1.000000 1.002747 0.369176 2.967937 67.363636 1.875151 809.705849 1.535569
3.000000e+00 348612.328874 350966.030106 64194.213795 128515.436685 15653.465730 109150.210998 105566.347590 59454.707414 13092.035863 53416.478990 59329.088591 1706.549795 23377.987207 448234.729209 59359.079335 1662.416880 97116.603490 230050.518856 265798.468804 85571.176519 3351734.185274 73074.057348 81972.328560 470146.179296 5233.293252 247403.613503 146485.514162 38877.583310 91924.029370 11777.852738 116462.088393 32602.728146 5583.863281 387798.057263 271955.013343 729.236484 5098.660455 3099317.670758 623717.495916 148905.411710 99566.053403 272208.819019 93043.847771 12077.687987 433478.437834 2366.317786 17378.603002 148227.746150 508371.454198 418948.885649 138234.381645 1481.968614 1722.399404 14594.429250 58232.358109 9872.088212 5641.930492 1917.133215 13879.487649 9946.648983 225440.739153 3999914.928734 6687982.341758 15346326.087008 5177130.558820 261084.054874 722878.405997 45133.062576 90026.764061 825195.242997 3752129.483044 0.000301 0.033576 20369.111104 6006784.601332 1357138.354391 3983904.807379 379959.136738 3590287.172494 890360.601995 3232140.772133 144275.417329 841211.914774 60254312.267791 1313696.229268 1678681.375709 0.000000 330512674.375813 0.999788 0.987441 0.999913 0.999416 1.000422 0.993890 1.000710 0.999964 1.000404 1.000361 1.000236 1.004456 0.999338 0.999454 0.999907 1.000844 1.009559 1.001714 1.000935 0.986258 1.000136 1.001097 1.001571 1.004368 1.002558 1.000438 1.006942 1.000094 1.003834 0.999771 0.999999 1.000708 1.000631 0.995661 0.999978 1.000059 1.000497 1.000432 1.000249 1.004065 1.002495 1.000473 1.002143 1.000824 1.003305 0.999966 0.999009 1.002567 1.000592 1.006690 1.000140 0.996026 1.000000 0.985848 0.977320 0.999995 1.000000 1.000524 0.996160 0.996230 0.999826 0.999979 0.999957 0.999948 1.031203 1.000322 1.000159 1.002526 1.001812 1.002503 0.999917 0.000000 1.000000 0.990156 1.000012 0.999889 1.054510 0.616722 0.896224 1.009021 0.929598 15.747428 1.381597 0.999988 0.087275 27.880643 1.000000 1.003506 0.368838 2.963158 67.500000 1.873174 805.636937 1.535462
4.000000e+00 348586.802494 351651.905170 64192.332492 128488.446521 15655.421798 109319.307816 105589.591627 59453.984117 13093.793536 53422.852579 59333.680277 1709.008852 23372.852820 448153.590406 59357.300015 1662.891888 97413.314713 230175.702980 265871.813203 85627.168021 3351868.880136 73099.552409 82013.491718 470835.945123 5237.822465 247439.591600 146816.128429 38878.624250 92038.271698 11776.959235 116462.020881 32609.966867 5584.996914 387327.479684 271953.152590 729.239091 5099.493408 3099752.563038 623767.896271 149100.948939 99645.043090 272249.337592 93104.234259 12080.720995 433911.321703 2366.293473 17373.441325 148347.439413 508465.073483 419837.866756 138240.777623 1480.158203 1722.399402 14531.027093 57823.344922 9872.073174 5641.930351 1917.461160 13863.058672 9935.040030 225424.142881 3999868.606934 6687760.555727 15346027.940154 5185577.785333 261108.227023 722914.449983 45170.493253 90080.725643 825816.949391 3752020.821827 0.000301 0.034291 20344.275379 6006810.428542 1357082.902327 3981560.995766 411909.680176 3576104.071259 892760.811321 3167670.008047 139241.457231 841089.440285 60253952.101321 651605.165940 1966875.195366 0.000000 330743819.021080 0.999714 0.989371 0.999883 0.999206 1.000547 0.995430 1.000930 0.999952 1.000538 1.000481 1.000314 1.005903 0.999119 0.999273 0.999877 1.001130 1.012644 1.002259 1.001211 0.986903 1.000176 1.001446 1.002074 1.005841 1.003426 1.000583 1.009215 1.000121 1.005081 0.999695 0.999998 1.000930 1.000834 0.994452 0.999971 1.000063 1.000660 1.000573 1.000330 1.005383 1.003290 1.000622 1.002793 1.001075 1.004307 0.999955 0.998713 1.003376 1.000776 1.008826 1.000186 0.994810 1.000000 0.981565 0.970455 0.999994 1.000000 1.000695 0.994981 0.995067 0.999752 0.999967 0.999924 0.999929 1.032885 1.000415 1.000209 1.003358 1.002413 1.003258 0.999888 0.000000 1.000000 0.988949 1.000016 0.999848 1.053889 0.668581 0.892684 1.011741 0.911056 15.197979 1.381396 0.999982 0.043289 32.667155 1.000000 1.004208 0.368648 2.963661 67.500000 1.872276 801.657525 1.535362
5.000000e+00 348561.283150 352337.843185 64190.444640 128461.484839 15657.376801 109488.363397 105612.824893 59453.260060 13095.547796 53429.222443 59338.270519 1711.465425 23367.737069 448072.783603 59355.522924 1663.364714 97709.289015 230300.710092 265945.598483 85683.061437 3352004.538525 73125.074739 82054.629449 471524.942060 5242.340724 247475.522929 147146.148105 38879.638291 92152.221442 11776.063126 116461.953977 32617.207412 5586.130285 386881.052797 271951.290874 729.241704 5100.326286 3100187.551564 623818.259256 149296.410999 99724.008384 272289.763913 93164.608831 12083.754763 434344.345887 2366.269155 17368.282086 148467.184833 508558.672273 420718.469271 138247.168467 1478.354587 1722.399399 14468.532948 57420.942892 9872.058140 5641.930209 1917.788901 13846.656089 9923.447930 225407.592521 3999827.482224 6687542.377526 15345737.740898 5189504.661298 261132.297442 722950.489387 45207.968525 90134.635573 826440.661904 3751912.475891 0.000301 0.034996 20318.410287 6006836.345411 1357026.385093 4064048.215988 405956.276945 3577644.965169 895173.382248 3109826.361144 134659.155470 840868.294030 60253592.180423 361369.334674 2192616.048552 0.000000 330964972.679913 0.999641 0.991300 0.999854 0.998996 1.000672 0.996970 1.001151 0.999939 1.000672 1.000600 1.000391 1.007349 0.998900 0.999093 0.999847 1.001414 1.015720 1.002803 1.001489 0.987547 1.000217 1.001796 1.002577 1.007313 1.004291 1.000728 1.011484 1.000147 1.006326 0.999619 0.999997 1.001152 1.001037 0.993306 0.999964 1.000066 1.000824 1.000713 1.000411 1.006701 1.004085 1.000771 1.003444 1.001327 1.005309 0.999945 0.998416 1.004186 1.000960 1.010942 1.000233 0.993597 1.000000 0.977343 0.963702 0.999992 1.000000 1.000866 0.993803 0.993906 0.999679 0.999957 0.999891 0.999910 1.033668 1.000507 1.000259 1.004190 1.003013 1.004016 0.999859 0.000000 1.000000 0.987691 1.000020 0.999807 1.075723 0.658918 0.893069 1.014475 0.894419 14.697828 1.381033 0.999976 0.024007 36.416407 1.000000 1.004879 0.368459 2.964165 67.454545 1.871872 797.734816 1.535263
6.000000e+00 348535.910376 353025.041211 64188.570093 128434.940687 15659.371651 109657.444028 105636.318292 59452.537771 13097.306533 53435.609621 59342.880560 1713.937162 23362.615837 447991.862068 59353.741687 1663.837908 98006.562156 230426.424778 266021.431865 85739.297703 3352144.572738 73150.894219 82096.032720 472217.782702 5246.854678 247511.622387 147477.448297 38880.613366 92266.111325 11775.167971 116461.891017 32624.533322 5587.270829 386442.159171 271949.415933 729.245736 5101.161069 3100625.198430 623868.919766 149492.540341 99803.685363 272330.593875 93225.598122 12086.826769 434782.987676 2366.244497 17363.054241 148588.559281 508653.235920 421597.431908 138253.577503 1476.547128 1722.399396 14406.447681 57021.972745 9872.043014 5641.930067 1918.118278 13830.100502 9911.743932 225391.119423 3999790.348280 6687332.623668 15345457.735798 5191512.408519 261156.579393 722986.959079 45245.668571 90188.932337 827084.170394 3751804.052320 0.000301 0.035691 20286.455478 6006862.568902 1356968.782203 4040388.755601 394119.468360 3534824.988260 897633.107170 3057238.217067 130441.189461 840518.883305 60253234.650783 233700.266386 2369341.959977 0.000000 331180415.397680 0.999569 0.993234 0.999825 0.998790 1.000799 0.998509 1.001373 0.999927 1.000806 1.000720 1.000469 1.008804 0.998681 0.998912 0.999817 1.001699 1.018811 1.003351 1.001774 0.988195 1.000258 1.002149 1.003083 1.008793 1.005156 1.000874 1.013761 1.000172 1.007570 0.999543 0.999997 1.001377 1.001241 0.992179 0.999957 1.000072 1.000987 1.000855 1.000492 1.008024 1.004888 1.000921 1.004100 1.001581 1.006324 0.999935 0.998116 1.005007 1.001146 1.013054 1.000279 0.992383 1.000000 0.973150 0.957006 0.999991 1.000000 1.001038 0.992615 0.992734 0.999606 0.999948 0.999860 0.999891 1.034067 1.000600 1.000310 1.005027 1.003617 1.004798 0.999830 0.000000 1.000000 0.986138 1.000025 0.999764 1.069460 0.639706 0.882380 1.017263 0.879294 14.237444 1.380459 0.999970 0.015526 39.351587 1.000000 1.005533 0.368271 2.964669 67.454545 1.871686 793.837557 1.535153
7.000000e+00 348510.730911 353713.163800 64186.706971 128408.719207 15661.396172 109826.561176 105659.979137 59451.817429 13099.068163 53442.014917 59347.508742 1716.420970 23357.485976 447910.767327 59351.959627 1664.312952 98305.932401 230552.631477 266098.902282 85795.812778 3352286.521964 73176.929885 82137.637694 472913.853572 5251.365134 247547.890771 147809.736949 38881.564954 92379.957827 11774.274139 116461.831510 32631.910091 5588.418204 385996.567270 271947.529467 729.251984 5101.998018 3101065.568881 623919.880953 149689.310878 99883.834599 272371.869202 93287.229494 12089.950283 435229.150682 2366.219629 17357.784784 148711.643962 508748.428143 422476.201985 138260.025309 1474.740799 1722.399393 14344.991859 56627.745288 9872.027834 5641.929923 1918.449363 13813.476784 9899.990646 225374.613713 3999754.700022 6687128.162352 15345183.901458 5192717.033542 261181.028902 723023.982951 45283.560700 90244.442023 827736.106741 3751695.551134 0.000301 0.036375 20250.984778 6006889.190191 1356910.039835 4081918.597438 378418.481869 3548436.054070 900133.897881 3007654.283183 126580.333514 840050.602319 60252878.600300 176975.755483 2507130.458681 0.000000 331391278.457607 0.999496 0.995170 0.999796 0.998586 1.000929 1.000049 1.001598 0.999915 1.000941 1.000839 1.000547 1.010266 0.998462 0.998732 0.999787 1.001985 1.021923 1.003900 1.002066 0.988847 1.000301 1.002506 1.003591 1.010280 1.006020 1.001021 1.016045 1.000196 1.008813 0.999467 0.999996 1.001604 1.001447 0.991035 0.999950 1.000080 1.001152 1.000997 1.000574 1.009351 1.005695 1.001073 1.004764 1.001840 1.007357 0.999924 0.997813 1.005840 1.001334 1.015166 1.000326 0.991169 1.000000 0.968998 0.950389 0.999989 1.000000 1.001211 0.991422 0.991557 0.999533 0.999939 0.999829 0.999874 1.034307 1.000694 1.000361 1.005869 1.004235 1.005590 0.999801 0.000000 1.000000 0.984414 1.000029 0.999721 1.080453 0.614221 0.885777 1.020097 0.865034 13.816038 1.379690 0.999964 0.011757 41.640069 1.000000 1.006173 0.368083 2.965174 67.409091 1.871595 789.979395 1.535041
8.000000e+00 348485.597457 354400.900509 64184.839842 128382.386781 15663.410468 109995.757361 105683.513648 59451.097387 13100.833756 53448.413677 59352.129675 1718.899944 23352.362838 447829.783807 59350.180838 1664.789454 98606.550532 230679.038410 266175.992958 85852.354670 3352428.291913 73202.916453 82179.124590 473609.520448 5255.894059 247584.089908 148141.910398 38882.606878 92494.601389 11773.380035 116461.770363 32639.251268 5589.564813 385569.017021 271945.646904 729.258746 5102.834329 3101506.227296 623970.813495 149885.896282 99963.746719 272413.169647 93349.057507 12093.082805 435676.679135 2366.194909 17352.549704 148834.688101 508843.130463 423349.390615 138266.533494 1472.949445 1722.399390 14284.662813 56241.430963 9872.012724 5641.929780 1918.780552 13796.959768 9888.312847 225358.168274 3999720.217571 6686924.372234 15344910.012751 5193571.572315 261205.492417 723061.012063 45321.389905 90300.459283 828384.572004 3751587.304348 0.000301 0.037050 20217.047700 6006915.891019 1356850.769167 4057310.960319 431964.721946 3550401.973524 902646.732017 2962651.690343 123075.999474 839505.027311 60252521.107224 150956.216597 2613690.327581 0.000000 331596424.119721 0.999424 0.997105 0.999767 0.998381 1.001057 1.001590 1.001821 0.999903 1.001076 1.000959 1.000625 1.011725 0.998243 0.998551 0.999757 1.002272 1.025048 1.004451 1.002357 0.989499 1.000343 1.002862 1.004098 1.011766 1.006888 1.001167 1.018328 1.000223 1.010065 0.999391 0.999996 1.001829 1.001653 0.989938 0.999943 1.000089 1.001316 1.001139 1.000656 1.010676 1.006499 1.001225 1.005430 1.002100 1.008393 0.999914 0.997512 1.006672 1.001520 1.017264 1.000373 0.989965 1.000000 0.964923 0.943906 0.999987 1.000000 1.001383 0.990237 0.990387 0.999460 0.999930 0.999799 0.999856 1.034478 1.000787 1.000412 1.006709 1.004858 1.006378 0.999773 0.000000 1.000000 0.982764 1.000034 0.999677 1.073940 0.701133 0.886268 1.022944 0.852090 13.433546 1.378794 0.999958 0.010029 43.409885 1.000000 1.006796 0.367895 2.965676 67.409091 1.871544 786.191339 1.534936
9.000000e+00 348460.417547 355088.164287 64182.968215 128355.881336 15665.408463 110165.005100 105706.912941 59450.377189 13102.602616 53454.799510 59356.740032 1721.370988 23347.254206 447749.055953 59348.407083 1665.265223 98907.227736 230805.564188 266251.996000 85908.881906 3352568.742070 73228.825522 82220.468778 474304.030646 5260.438635 247620.200871 148473.742787 38883.731888 92609.951258 11772.484768 116461.707128 32646.556762 5590.708577 385167.029082 271943.773335 729.264844 5103.669339 3101946.265595 624021.620473 150082.162106 100043.368675 272454.338632 93410.781083 12096.199187 436121.904206 2366.170372 17347.356562 148957.103316 508937.353059 424214.246080 138273.070336 1471.174819 1722.399387 14225.414232 55862.743027 9871.997702 5641.929639 1919.111283 13780.548325 9876.707211 225341.683115 3999686.703140 6686717.482932 15344632.345004 5194259.901298 261229.931216 723097.848133 45359.180650 90356.302452 829027.722881 3751479.378332 0.000301 0.037715 20186.679639 6006942.580630 1356791.523004 4081075.745519 414071.025657 3549608.243919 905148.667124 2921831.973721 119891.443432 838920.799338 60252160.579207 138430.245850 2695368.661794 0.000000 331795545.434575 0.999352 0.999038 0.999737 0.998175 1.001185 1.003131 1.002043 0.999891 1.001211 1.001079 1.000703 1.013179 0.998024 0.998371 0.999727 1.002558 1.028173 1.005002 1.002643 0.990150 1.000385 1.003217 1.004603 1.013250 1.007758 1.001313 1.020609 1.000252 1.011324 0.999315 0.999995 1.002053 1.001857 0.988905 0.999936 1.000098 1.001480 1.001281 1.000737 1.012000 1.007301 1.001376 1.006095 1.002358 1.009423 0.999903 0.997213 1.007500 1.001706 1.019342 1.000420 0.988772 1.000000 0.960921 0.937550 0.999986 1.000000 1.001556 0.989059 0.989225 0.999387 0.999922 0.999768 0.999838 1.034615 1.000881 1.000463 1.007549 1.005479 1.007159 0.999744 0.000000 1.000000 0.981288 1.000038 0.999634 1.080230 0.672089 0.886070 1.025780 0.840350 13.085956 1.377834 0.999952 0.009197 44.766453 1.000000 1.007401 0.367708 2.966178 67.409091 1.871511 782.470638 1.534835
